Para analizar los resultados podés bajar el .csv (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recordá calificar a la empresa donde estás trabajando en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Usá el código ENCUESTA en la tienda de sysarmy y llevate un 10% de descuento!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,Esta obra está bajo una Licencia Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dónde estás trabajando;Tipo de contrato;Salario mensual o retiro BRUTO (en tu moneda local);Salario mensual o retiro NETO (en tu moneda local);Pagos en dólares;¿Cuál fue el último valor de dólar que tomaron?;¿Qué tan conforme estás con tu sueldo?;Cómo creés que está tu sueldo con respecto al último semestre;Recibís algún tipo de bono;A qué está atado el bono;¿Tuviste ajustes por inflación durante 2021?;¿De qué % fue el ajuste total?;¿En qué mes fue el último ajuste?;Trabajo de;Años de experiencia;Años en la empresa actual;Años en el puesto actual;¿Gente a cargo?;Plataformas;Lenguajes de programación o tecnologías.;Frameworks, herramientas y librerías;Bases de datos;QA / Testing;IDEs;Cantidad de personas en tu organización;Trabajo para una empresa que no tiene oficina en mi ciudad;Actividad principal;¿La recomendás como un buen lugar para trabajar?;¿Cómo calificás las políticas de diversidad e inclusión?;Beneficios extra;Nivel de estudios alcanzado;Estado;Carrera;Universidad;Realizaste cursos de especialización;¿Contribuís a proyectos open source?;¿Programás como hobbie?;¿Tenés guardias?;Cuánto cobrás por guardia;¿Porcentaje, bruto o neto?;¿Sufriste o presenciaste situaciones de violencia laboral?;¿Tenés algún tipo de discapacidad?;¿Sentís que esto te dificultó el conseguir trabajo?;¿Cómo venís llevando la pandemia?;¿Tenés hijos/as menores de edad?;¿Con cuántas personas estás conviviendo?;¿Con quiénes convivís?;¿Tenés un espacio dedicado para el trabajo?;¿Tenés que compartir tu equipo de trabajo con alguien?;¿Qué tipo de cuarentena hiciste / estás haciendo?;¿Cambió tu situación laboral a raíz de la pandemia?;¿Qué tanto sentís que te está apoyando tu empresa/organización en esta situación?;¿Cómo se vio afectada tu empresa/organización?;¿Instauraron algún beneficio nuevo?;Tengo;Me identifico
Catamarca;Full-Time;245000;169000;;;2;3;De uno a tres sueldos;Mix de las anteriores;Uno;40;4;Developer;3;0;3;0;Firebase;CSS| HTML| Javascript| TypeScript;React.js| react native;Ninguna de las anteriores;Jest;Android Studio| Visual Studio Code| Xcode;51-100;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;6;4;Capacitaciones y/o cursos| Comidas pagas / subvencionadas| Horarios flexibles| Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias);;;;;;;;;;;;;;;;;;;;;;;;;28;Varón Cis
Catamarca;Tercerizado (trabajo a través de consultora o agencia);180000;126000;;;3;2;No;No recibo bono;Uno;33;3;Technical Leader;9;0;0;0;Amazon Web Services| Linux| Windows Server;Python;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores;Notepad++;10001+;Trabajo para una empresa que no tiene oficina en mi ciudad;Otras industrias;9;10;Horarios flexibles;Universitario;Completado;Lic. En redes y comunicación de datos ;UP - Universidad de Palermo;Sí| de forma particular| Sí| los pagó un empleador;Sí;Sí;No;0;Porcentaje de mi sueldo;;;;;;;;;;;;;;;34;Varón Cis
Catamarca;Full-Time;71202;61753;;nose ;1;1;No;No recibo bono;Dos;12;7;Networking;16;12;12;1;Azure| Google Cloud Platform/App Engine| Linux| VMWare| Windows Server;C++| COBOL| Matlab| Python;Ninguno de los anteriores;SQLite;Ninguna de las anteriores;Ninguno de los anteriores;51-100;;Otras industrias;8;9;Abono de celular| Capacitaciones y/o cursos;Universitario;Incompleto;Ingeniería Electrónica;Universidad nacional de catamarca;Sí| de forma particular;No;Sí;Sí| pasiva;0;Neto;Jamás;;No;;;;;;;;;;;;45;Varón Cis
Chaco;Part-Time;96000;96000;;;2;2;No;No recibo bono;No;0;0;Developer;4;0;0;0;Azure;CSS| HTML| Javascript| PHP;Bootstrap| Yii;MySQL;Ninguna de las anteriores;PHPStorm;51-100;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;7;8;Abono de Internet| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas;Universitario;Completado;Licenciatura en Sistemas de Información;Unne;Sí| de forma particular;No;No;No;0;Porcentaje de mi sueldo;Jamás;;;4;0;1;Pareja;Sí;No;2;Cambié de trabajo| pero no por la pandemia;9;No la afectó;Ninguna de las anteriores;31;Mujer Cis
Chaco;Full-Time;42000;32000;;;1;2;No;Performance individual;Uno;1;3;Developer;7;5;5;0;Amazon Web Services| Docker| Microcontroladores;Bash/Shell| CSS| HTML| Java| Javascript| PHP| Python| SQL;Bootstrap| Drupal| Flask| jQuery| Laravel| Node.js| Vue.js;MySQL| PostgreSQL| Redis;Cypress| Jest| PHPUnit| Postman| Selenium;IPython / Jupyter| PHPStorm| Vim| Visual Studio Code;Nov-50;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;5;3;Horarios flexibles;Universitario;En curso;Ingeniería en Sistemas de Información;UTN - Universidad Tecnológica Nacional;Sí| de forma particular;No;Sí;No;0;Porcentaje de mi sueldo;En mi trabajo actual;;;;;;;;;;;;;;30;Varón Cis
Chaco;Freelance;450000;450000;Mi sueldo está dolarizado (pero cobro en moneda local);165;3;3;No;No recibo bono;Dos;40;6;Technical Leader;12;8;8;5;Firebase| Linux| Microcontroladores| VMWare| Windows Server;.NET| Arduino| C#| Javascript| Swift;.NET Core| Angular| Flutter| SwiftUI;MariaDB| Microsoft SQL Server| MySQL;Ninguna de las anteriores;Android Studio| NetBeans| Notepad++| Visual Studio| Visual Studio Code| Xcode;10-Jan;;Producto basado en Software;10;10;Ninguna de las anteriores;;;;;;;;;;;;;;;;;;;;;;;;;33;Varón Cis
Chaco;Full-Time;70000;70000;;;2;2;No;No recibo bono;No;0;0;Developer;0;0;0;0;Docker| Linux;CSS| HTML| Javascript| PHP;Drupal;MySQL;Ninguna de las anteriores;Visual Studio Code;Nov-50;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;8;0;Clases de idiomas| Horarios flexibles;Universitario;En curso;Ingeniería en Sistemas de Información;UTN - Universidad Tecnológica Nacional;Sí| de forma particular;No;Sí;No;0;Neto;;;;;;;;;;;;;;;23;Varón Cis
Chaco;Tercerizado (trabajo a través de consultora o agencia);223564;156795;;;3;3;No;No recibo bono;Tres;29;6;Developer;5;0;0;0;Docker| Kubernetes| OpenShift;Java| Javascript| TypeScript;Hibernate| Spring;IBM Db2;Postman| SoapUI| Mockito;IntelliJ;501-1000;;Otras industrias;8;8;Horarios flexibles;;;;;;;;;;;;;;;;;;;;;;;;;42;Varón Cis
Chaco;Full-Time;150000;115000;Mi sueldo está dolarizado (pero cobro en moneda local);99.8;3;3;Un sueldo;Mix de las anteriores;Uno;50;3;Recruiter / HR;7;2;0;8;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores;Ninguno de los anteriores;10001+;;Producto basado en Software;10;10;Abono de Internet| Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles| Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias);Posgrado;Completado;Lic. Psicologia;Ucasal;Sí| de forma particular;No;No;No;0;Neto;En un trabajo anterior;;;3;0;1;Pareja;Sí;No;3;No;10;Se vio beneficiada;Pago de abono de Internet;34;Mujer Cis
Chaco;Full-Time;100000;80000;;;2;3;No;No recibo bono;No;0;0;Developer;1;0;1;2;Docker| Linux;HTML| Javascript;Bootstrap| Node.js| React.js;MongoDB| MySQL;Mocha| Postman;Vim| Visual Studio Code;10-Jan;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;9;9;Ninguna de las anteriores;Universitario;Incompleto;Lic. En Biotecnologia;Uncaus;Sí| de forma particular;Sí;Sí;Sí| pasiva;0;Porcentaje de mi sueldo;Jamás;;;4;0;0;Vivo solo/a;No;No;3;Cambié de trabajo| pero no por la pandemia;8;Se vio beneficiada;Ninguna de las anteriores;30;Varón Cis
