Para analizar los resultados puedes bajar el .csv (Archivo > Descargar como);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recuerda calificar a la empresa donde estás trabajando en www.openqube.io;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deja sugerencias para próximas encuestas (o devuélvele a la comunidad resolviendo algún issue);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Esta obra está bajo una Licencia Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estoy trabajando en;Bolivia;Chile;Colombia;Costa Rica;Cuba;Ecuador;El Salvador;Guatemala;Honduras;México;Nicaragua;Panamá;Paraguay;Perú;Puerto Rico;República Dominicana;Uruguay;Venezuela;Tipo de contrato;Salario mensual o retiro BRUTO (en tu moneda local);Salario mensual o retiro NETO (en tu moneda local);Pagos en dólares;¿Cuál fue el último valor de dólar que tomaron?;¿Qué tan conforme estás con tu sueldo?;Cómo creés que está tu sueldo con respecto al último semestre;Recibís algún tipo de bono;A qué está atado el bono;¿Tuviste ajustes por inflación durante 2021?;¿De qué % fue el ajuste total?;¿En qué mes fue el último ajuste?;Trabajo de;Años de experiencia;Años en la empresa actual;Años en el puesto actual;¿Gente a cargo?;Plataformas;Lenguajes de programación o tecnologías.;Frameworks, herramientas y librerías;Bases de datos;QA / Testing;IDEs;Cantidad de personas en tu organización;;Actividad principal;¿La recomendás como un buen lugar para trabajar?;¿Cómo calificás las políticas de diversidad e inclusión?;Beneficios extra;Nivel de estudios alcanzado;Estado;Carrera;Universidad;Realizaste cursos de especialización;¿Contribuís a proyectos open source?;¿Programás como hobbie?;¿Tenés guardias?;Cuánto cobrás por guardia;¿Porcentaje, bruto o neto?;¿Sufriste o presenciaste situaciones de violencia laboral?;¿Tenés algún tipo de discapacidad?;¿Sentís que esto te dificultó el conseguir trabajo?;¿Cómo venís llevando la pandemia?;¿Tenés hijos/as menores de edad?;¿Con cuántas personas estás conviviendo?;¿Con quiénes convivís?;¿Tenés un espacio dedicado para el trabajo?;¿Tenés que compartir tu equipo de trabajo con alguien?;¿Qué tipo de cuarentena hiciste / estás haciendo?;¿Cambió tu situación laboral a raíz de la pandemia?;¿Qué tanto sentís que te está apoyando tu empresa/organización en esta situación?;¿Cómo se vio afectada tu empresa/organización?;¿Instauraron algún beneficio nuevo?;Tengo;Me identifico
Bolivia;Cochabamba;;;;;;;;;;;;;;;;;;Full-Time;13500;12000;;;3;3;Menos de un sueldo;Performance de la compañía;No;0;0;SysAdmin / DevOps / SRE;6;14;6;2;Amazon Web Services| Azure| Docker| Linux| OpenStack;Bash/Shell;Ninguno de los anteriores;Amazon RDS/Aurora| MongoDB| MySQL| PostgreSQL;Ninguna de las anteriores;Ninguno de los anteriores;501-1000;;Servicios / Consultoría de Software / Digital;7;5;Capacitaciones y/o cursos| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles;Terciario;Completado;Analista de Sistemas;catec;Sí| los pagó un empleador;No;No;No;0;Porcentaje de mi sueldo;Jamás;;No;2;1;1;Hijos/as (tiempo completo);No;No;3;No;7;No la afectó| Se vio beneficiada;Ninguna de las anteriores;35;Varón Cis
Bolivia;La Paz;;;;;;;;;;;;;;;;;;Remoto (empresa de otro país);24000;21000;Cobro en dólares;;3;2;No;No recibo bono;No;0;0;Developer;12;1;6;2;Amazon Web Services| Heroku| Linux;Bash/Shell| Ruby;Bootstrap| jQuery| Rails;MariaDB| PostgreSQL| Redis;RSpec;Vim;10-Jan;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;8;5;Horarios flexibles;;;;;;;;;;;;;;;;;;;;;;;;;37;Varón Cis
Bolivia;Santa Cruz de la Sierra;;;;;;;;;;;;;;;;;;Full-Time;10500;8800;;;2;2;No;No recibo bono;No;0;0;Architect;8;7;2;0;AIX| Docker| Firebase| Linux| VMWare| Windows Server;Bash/Shell| Java| SQL| VBA;Ninguno de los anteriores;ElasticSearch| IBM Db2| MariaDB| MySQL| Oracle| PostgreSQL;JUnit| Postman| SoapUI;NetBeans| Vi| Vim| Visual Studio Code;2001-5000;;Producto basado en Software;8;6;Abono de celular| Abono de Internet| Capacitaciones y/o cursos| Clases de idiomas| Estacionamiento gratuito / subvencionado| Licencia de paternidad / maternidad extendida| Viáticos;Universitario;Completado;Ingeniería en Informática;Universiadad Autónoma Gabriel Rene Moreno;Sí| de forma particular;No;No;No;0;Porcentaje de mi sueldo;En mi trabajo actual;;No;3;2;4;Pareja| Hijos/as (tiempo completo)| Empleada ;No;No;2;No;8;Frenaron las contrataciones;Ninguna de las anteriores;33;Varón Cis
Bolivia;La Paz;;;;;;;;;;;;;;;;;;Full-Time;5900;5300;;;2;1;No;No recibo bono;No;0;0;SysAdmin / DevOps / SRE;8;2;2;0;Amazon Web Services| Azure| Docker| Kubernetes| Linux| SAP| Serverless| VMWare| Windows Server;C| Java| Javascript| Python;Django| SAP;Amazon RDS/Aurora| HANA| Microsoft Azure (Tables| CosmosDB| SQL| etc);Ninguna de las anteriores;Eclipse| IPython / Jupyter| Visual Studio Code;501-1000;;Otras industrias;2;8;Ninguna de las anteriores;;;;;;;;;;;;;;;;;;;;;;;;;37;Varón Cis
Bolivia;Cochabamba;;;;;;;;;;;;;;;;;;Full-Time;7996;6998;;;2;2;Menos de un sueldo;refrigerio;No;0;0;Networking;10;7;4;2;Arduino o similar| Docker| Linux| VMWare| Windows Server| Mikrotik ;.NET| Arduino| C#| CSS| HTML| Java| Javascript| Kotlin| PHP| SQL;.NET Core| Angular| Bootstrap| Laravel| Node.js;MariaDB| Microsoft SQL Server| MySQL| Oracle| PostgreSQL;OpenQA| Postman| Visual Studio Coded UI;Android Studio| IntelliJ| Sublime Text| Visual Studio| Visual Studio Code| WebStorm;2001-5000;;Otras industrias;4;3;Licencia de paternidad / maternidad extendida;;;;;;;;;;;;;;;;;;;;;;;;;38;Varón Cis
Bolivia;Santa Cruz de la Sierra;;;;;;;;;;;;;;;;;;Remoto (empresa de otro país);14000;13000;Cobro en dólares;;3;4;No;No recibo bono;No;0;0;Developer;6;0;0;0;Amazon Web Services| Docker| Firebase| Heroku| Linux;Javascript| Python| SQL| TypeScript;Django| Node.js;MongoDB| PostgreSQL;Jest;PyCharm| Visual Studio Code;10-Jan;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;10;0;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Stock options / RSUs| Vacaciones flexibles (adicionales a las reglamentarias);;;;;;;;;;;;;;;;;;;;;;;;;26;Varón Cis
